hand_id;timestamp_utc;bb;hero_cards;pot;hero_cev;hero_net_ev;hero_allin_eq
4831166513769611265-1-1781012856;2026-06-09T13:47:36+00:00;20;4c 7s;65;0;0;
4831166513769611265-2-1781012867;2026-06-09T13:47:47+00:00;20;6s Td;246;88;88;
4831166513769611265-3-1781012900;2026-06-09T13:48:20+00:00;20;Jc 5d;422;-10;-10;
4831166513769611265-4-1781012906;2026-06-09T13:48:26+00:00;20;5d 5c;884;-40;-40;
4831166513769611265-5-1781012923;2026-06-09T13:48:43+00:00;20;7d 4d;80;-20;-20;
4831166513769611265-6-1781012942;2026-06-09T13:49:02+00:00;20;Ad Js;1060;-78;-78;
4831166513769611265-7-1781012965;2026-06-09T13:49:25+00:00;30;Ad 4c;880;440;33;0.5373
4831166513769611265-8-1781012978;2026-06-09T13:49:38+00:00;30;9d Jc;650;-30;-30;
4831166513769611265-9-1781012985;2026-06-09T13:49:45+00:00;30;5c 2h;680;-30;-30;
4831166513769611265-10-1781012990;2026-06-09T13:49:50+00:00;30;Ts 5d;710;-30;-30;
4831166513769611265-11-1781013005;2026-06-09T13:50:05+00:00;30;5s 5d;820;30;30;
4831166513769611265-12-1781013022;2026-06-09T13:50:22+00:00;30;5h 7s;45;-15;-15;
4831166513769611265-13-1781013027;2026-06-09T13:50:27+00:00;30;4c Jc;725;-30;-30;
4831166513769611265-14-1781013040;2026-06-09T13:50:40+00:00;40;6s Kd;765;-40;-40;
4831166513769611265-15-1781013049;2026-06-09T13:50:49+00:00;40;8h 3s;805;-40;-40;
4831166513769611265-16-1781013054;2026-06-09T13:50:54+00:00;40;7h Ts;160;-40;-40;
4831166513769611265-17-1781013061;2026-06-09T13:51:01+00:00;40;Jd 5c;240;120;120;
4831166513769611265-18-1781013072;2026-06-09T13:51:12+00:00;40;Ts 2c;60;-20;-20;
4831166513769611265-19-1781013076;2026-06-09T13:51:16+00:00;40;5h Qs;160;-80;-80;
4831166513769611265-20-1781013090;2026-06-09T13:51:30+00:00;40;Th 4h;240;80;80;
4831166513769611265-21-1781013103;2026-06-09T13:51:43+00:00;40;4h 5h;785;-40;-40;
4831166513769611265-22-1781013107;2026-06-09T13:51:47+00:00;40;4d 8c;60;-20;-20;
4831166513769611265-23-1781013111;2026-06-09T13:51:51+00:00;40;Tc 5h;845;-40;-40;
4831166513769611265-24-1781013116;2026-06-09T13:51:56+00:00;40;Td 5h;60;-20;-20;
4831166513769611265-25-1781013120;2026-06-09T13:52:00+00:00;40;9d Ad;675;40;40;
4831166513769611265-26-1781013127;2026-06-09T13:52:07+00:00;60;6h 5c;90;-30;-30;
4831166513769611265-27-1781013131;2026-06-09T13:52:11+00:00;60;As Kd;705;60;60;
4831166513769611265-28-1781013141;2026-06-09T13:52:21+00:00;60;4s Th;90;-30;-30;
4831166513769611265-29-1781013145;2026-06-09T13:52:25+00:00;60;Jd Kd;1500;675;302;0.7238
4831166513769611265-30-1781013156;2026-06-09T13:52:36+00:00;60;3d 3c;1500;150;2;0.5067
